Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
LOC100506083	34	445	126	140	65	40
FUK	779	4430	642	1554	967	529
ST3GAL2	859	1918	157	747	658	326
SF3B3	7277	24803	9427	5815	3744	1586
SNORD111	0	0	0	0	0	0
SNORD111B	0	0	0	2	0	1
MTSS1L	62	3861	79	1284	323	65
VAC14-AS1	208	304	213	97	11	3
CALB2	0	107	137	50	7	32
CMTR2	1865	4317	2971	1435	627	340
ZNF23	1711	3792	3102	814	678	170
ZNF19	552	914	424	254	190	56
MARVELD3	435	2797	1345	3537	831	360
TAT	69	188	21	29	38	28
LOC100132529	47	264	106	83	52	10
SNORA70D	0	0	0	0	0	0
SNORD71	0	16	0	1	0	0
ZNF821	564	5090	462	2230	1563	568
ATXN1L	953	2652	2004	2618	619	378
PKD1L3	71	1	51	9	3	0
DHODH	726	2556	965	429	311	196
TXNL4B	905	4378	747	744	449	297
PMFBP1	1	159	229	126	13	1
HPR	0	34	59	3	0	9
DHX38	1600	9431	1211	2792	1687	747
HCCAT5	0	13	0	0	0	0
C16orf47	0	18	0	0	0	0
LOC100506172	0	0	0	0	0	0
LOC101928035	0	0	0	1	1	0
LOC283922	2	232	84	171	35	23
PSMD7	10322	24494	13634	12415	4374	2752
RFWD3	2342	3774	1137	1288	706	222
FA2H	124	1218	187	3481	422	137
LDHD	187	2701	225	2445	522	459
ZFP1	1353	2129	1323	607	439	141
BCAR1	3045	12659	1396	10587	4892	2827
CTRB1	53636	33237	4259	330127	3298	167
CTRB2	150279	78354	5149	541510	10002	656
LOC100506281	1268	37	225	9243	234	1
GABARAPL2	16660	64988	25885	21337	15672	5950
CHST6	0	302	0	58	0	1
TMEM231	378	1846	181	397	367	125
CHST5	1	2	0	4	9	33
ADAT1	1467	5998	3180	1211	829	366
KARS	6102	31894	9431	11100	4009	2407
TERF2IP	8309	44045	19038	13550	12449	3640
MIR4719	0	0	0	0	0	0
MON1B	1214	6989	761	2465	933	961
SYCE1L	120	2587	78	490	1001	205
NUDT7	1445	3270	3588	536	570	279
CLEC3A	116	0	0	0	0	0
MAF	1124	3542	2206	703	477	169
LOC102467146	76	57	104	102	55	3
LINC01227	0	0	0	0	0	0
DYNLRB2	53	586	120	206	187	92
GCSH	170	295	197	211	92	57
CENPN	351	2543	686	880	289	180
C16orf46	145	690	81	80	101	84
ATMIN	1632	8021	4128	3301	1183	525
CMC2	7158	14038	9297	4236	2381	934
PKD1L2	0	0	0	6	0	0
BCMO1	20	450	131	164	52	23
MIR4720	0	5	0	0	0	0
MIR7854	0	0	0	0	0	0
MIR6504	0	22	0	0	0	0
LOC100129617	0	19	463	102	27	7
SDR42E1	1164	3860	1346	1290	398	130
HSD17B2	2340	8216	3148	13830	3334	706
MIR8058	0	0	0	0	0	0
LOC101928417	0	0	0	0	0	0
MIR3182	0	0	0	0	0	0
HSBP1	30391	79747	56604	16596	10613	5064
LOC102724163	0	19	1	0	0	0
MLYCD	959	5676	1989	2988	2714	1207
OSGIN1	1519	5655	126	1720	394	381
SLC38A8	30	479	0	22	82	53
DNAAF1	0	16	12	0	5	1
ADAD2	0	0	0	0	2	0
TAF1C	588	4423	361	2763	1275	557
KCNG4	0	0	0	1	0	0
HSDL1	4154	9005	3845	2290	1120	467
WFDC1	0	0	0	0	13	0
TLDC1	1640	3375	1672	904	560	373
COTL1	6729	24605	6906	6673	16699	7567
KLHL36	213	2694	453	2549	1131	348
ZDHHC7	463	2349	1338	4160	1166	585
FAM92B	0	72	0	45	0	4
LOC400548	1	6	0	2	0	0
LINC00311	0	0	1	3	0	2
MIR5093	0	0	0	0	0	0
GSE1	4591	16115	11316	5395	4248	1306
C16orf74	1	249	0	126	68	1
MIR1910	0	0	0	0	0	0
EMC8	763	11362	2149	4625	2416	1304
COX4I1	43253	133934	38951	70381	31739	20293
IRF8	260	322	0	37	66	25
MIR6774	0	5	0	0	0	1
LINC01082	0	0	0	0	0	0
LOC146513	2	5	7	4	2	0
LINC01081	0	0	0	0	0	0
FOXL1	0	0	0	0	10	0
MTHFSD	1870	1535	206	788	844	203
FLJ30679	0	0	0	2	0	0
FOXC2	0	0	0	0	0	6
FOXF1	23	29	171	0	23	437
FENDRR	0	0	77	1	5	102
LOC101928708	0	0	1	0	0	0
C16orf95	373	957	63	656	296	240
LOC101928682	0	0	0	0	0	12
MAP1LC3B	14654	33757	19676	11612	5483	2676
ZCCHC14	1521	4868	3286	1803	781	251
LOC101928737	0	25	42	6	5	8
KLHDC4	1252	5268	782	1445	991	566
LOC102724467	1	67	6	60	69	9
SLC7A5	1366	3883	368	4205	2582	1344
MIR6775	10	0	0	0	0	0
LOC400553	0	0	0	0	0	0
LOC101928880	63	248	54	29	24	14
ZNF469	0	0	0	34	100	9
MIR5189	0	0	0	0	0	0
ZFPM1	13	235	0	330	187	106
MVD	4052	11929	959	6323	5035	1840
CYBA	657	8088	277	25866	3972	2975
IL17C	0	844	0	176	0	0
ZC3H18	1103	2000	344	1934	1072	480
PIEZO1	327	3313	16	3588	524	1186
SNAI3	1	113	5	154	60	7
MIR4722	0	13	0	0	1	0
RNF166	406	1704	104	1191	552	530
LOC100289580	0	0	0	15	2	4
CTU2	1559	3027	356	1339	1169	346
LOC339059	0	1	0	3	0	0
APRT	10437	32664	3231	18387	8631	5362
GALNS	1354	6332	947	2275	1145	541
TRAPPC2L	6804	19569	7709	11441	6687	3764
PABPN1L	0	0	0	0	9	0
CDT1	13	1006	89	468	293	104
LOC100129697	9	1	1	10	7	2
ACSF3	1094	5006	734	2146	894	620
LINC00304	0	72	0	2	3	0
LOC400558	0	0	0	0	0	0
SLC22A31	0	0	10	241	0	2
ZNF778	235	525	302	175	261	131
LOC101927817	0	6	77	45	0	0
SPG7	3124	10384	5644	5318	4020	2515
RPL13	18701	64575	9859	63425	26217	15089
SNORD68	8	77	30	44	20	24
SPATA33	952	1906	660	1250	834	512
DPEP1	1678	7713	194	12499	344	135
SPATA2L	976	3083	137	1361	1590	755
CDK10	6270	19178	1420	5946	4755	2083
CHMP1A	6627	22184	1161	12155	5674	4750
FANCA	25	122	142	221	45	90
ZNF276	251	836	292	556	385	150
TCF25	11568	49690	6797	16108	10190	6133
DEF8	4738	10639	3502	4569	3059	1904
TUBB3	996	5954	1100	2280	1670	1403
MC1R	132	1576	202	388	218	93
CENPBD1	2148	10934	3007	2283	1201	684
PRDM7	0	28	1	3	1	0
DBNDD1	428	3596	123	9118	1489	762
GAS8	690	6114	723	2334	834	497
C16orf3	15	24	0	22	3	3
URAHP	23	337	12	92	109	33
ABCA6	112	204	1	110	98	20
MYH10	8260	23320	11253	3577	5028	1669
PPM1D	1213	3345	1136	1219	475	318
ABR	5179	12837	1880	4094	4356	1702
UBE2G1	3054	12766	7505	3005	1445	640
TMEM102	178	399	0	2267	521	283
SMG6	1321	3601	1181	1844	1077	1359
RABEP1	4363	12402	8808	4479	2620	1091
DNAH9	0	260	284	114	61	99
STX8	3857	10484	3747	2709	1577	907
MYOCD	0	141	0	8	0	0
LOC101928418	0	0	0	0	0	0
SLC5A10	71	423	75	193	61	77
TOM1L2	1625	6792	1287	4036	1863	944
SPECC1	684	3703	673	2399	375	328
ASIC2	0	62	89	0	89	11
EFCAB5	85	233	67	100	42	10
LYRM9	1499	6897	1219	2075	1763	919
PHF12	1073	4268	1574	1860	925	448
LOC101927239	0	0	0	0	0	0
LOC101927018	0	33	0	25	0	2
EZH1	2613	8525	1976	3777	1753	548
SRCIN1	20	566	116	122	137	34
ACACA	2406	7591	3843	2892	2231	822
SMARCE1	6559	20615	17093	6367	2948	1548
EIF1	51262	139082	51655	53149	37738	16416
GFAP	0	70	1	14	11	31
MAPT	568	1482	604	1267	951	261
NFE2L1	2600	9090	3852	6407	3410	1336
MBTD1	46	1218	829	718	249	59
MMD	1945	3082	1314	658	926	241
DHX40	2922	6883	4438	2113	1020	426
MSI2	237	1414	321	1547	533	287
ANKFN1	0	0	0	0	0	0
LOC101927688	0	22	0	13	8	0
MIR548W	0	0	0	0	0	0
LRRC37A3	145	1111	209	306	125	34
DDX42	2226	7493	4563	3134	1576	803
CACNG4	258	2721	626	439	1355	459
MARCH10	114	392	0	34	29	22
CEP112	890	3317	982	497	491	114
BRIP1	1	2	74	24	0	4
UBE2O	1192	6803	1662	2517	2489	909
GRB2	8037	29230	5988	11435	4254	3009
KIF19	328	3897	336	224	1083	735
CDC42EP4	2197	9223	1637	9666	2845	1566
TBCD	1607	4144	1629	3253	1448	1749
RPTOR	203	1484	90	1111	294	205
DNAH17	86	271	38	75	66	63
RPH3AL	4485	18257	1587	4681	4646	2012
NXN	461	3405	242	2903	882	433
VPS53	4445	14743	4330	2687	1921	712
GEMIN4	452	4003	485	2778	558	540
C17orf97	95	59	121	1090	378	106
SMYD4	861	662	184	817	352	159
PITPNA	1773	4827	2728	4241	2219	1206
PRPF8	11515	39184	13560	9649	8872	3483
RAP1GAP2	5311	27542	3678	8106	6455	3621
SRR	846	2322	1507	436	351	116
TSR1	622	5631	2229	1741	641	371
METTL16	1684	3940	1627	1612	1063	348
SHPK	397	1497	185	1334	346	293
ITGAE	2024	5865	2454	2233	1310	647
ZZEF1	2197	4446	1096	3175	844	547
P2RX1	13	243	0	957	4	0
PELP1	547	2160	858	1920	1709	771
PLD2	402	2407	428	755	374	311
PFN1	39543	145277	36596	49657	24710	18559
MYBBP1A	721	2381	13	2945	524	364
LOC100130950	34	238	189	198	113	96
LOC339166	0	0	0	0	0	0
PITPNM3	47	978	2	247	165	142
FBXO39	0	0	0	9	1	0
SLC16A11	133	1098	76	392	257	152
MED31	704	3713	1140	1295	703	257
ASGR1	352	1712	334	126	108	34
WRAP53	1161	3438	389	1063	489	259
DNAH2	85	180	0	113	1	2
LINC00324	314	779	224	222	119	114
SENP3-EIF4A1	0	0	0	0	1	0
SENP3	0	0	36	12	4	0
NTN1	4	361	77	716	224	94
MYH4	0	2	0	2	3	7
USP43	262	421	67	247	149	50
MYH13	60	1	0	3	3	34
GAS7	1	489	463	73	220	116
SHISA6	95	159	354	217	66	78
TMEM220	408	2251	1478	2115	629	349
MAP2K4	914	3904	2392	2000	927	252
HS3ST3A1	67	18	35	2	25	66
ARHGAP44	712	2101	693	1207	764	314
COX10	2593	6586	1669	1894	998	594
TVP23C-CDRT4	0	0	0	0	0	0
TVP23C	265	506.5	56	83.5	33	30
CCDC144A	8	48	52	0	12	4
LRRC75A	1	1148	537	510	277	87
ADORA2B	460	254	328	264	151	38
NCOR1	13172	36035	23413	9333	4714	1700
PIGL	515	1619	868	1371	430	220
CENPV	96	1315	448	1657	739	256
PEMT	124546	153262	74313	21502	57644	12568
MPRIP	1021	3118	1458	2327	957	855
RAI1	961	3277	764	3513	820	596
COPS3	6432	16333	7181	4191	2391	951
ALKBH5	4610	15970	3206	10869	5312	2864
CCDC144B	429	1916	818	45	92	48
GID4	923	736	468	955	349	91
SMCR8	151	1037	493	869	391	274
B9D1	4308	13123	2943	4337	3569	1936
TMEM11	4718	14898	6535	5031	2523	1628
KSR1	43	355	74	425	93	59
KRT18P55	6	40	2	46	13	11
FAM222B	2008	8823	2853	5397	1787	803
NLK	1460	1442	746	873	516	177
SUPT6H	2215	10594	1769	4647	2799	1526
SSH2	1248	5738	1873	1974	1140	433
TAOK1	2926	8072	8236	2365	1862	599
TEFM	1893	4672	5644	899	451	263
GOSR1	4050	13670	7390	3761	2528	697
NF1	1398	4509	3894	2811	1279	517
SUZ12	1541	3867	2171	1048	638	207
RAB11FIP4	635	4817	1309	4663	802	464
OMG	55	13	1	7	14	2
RHOT1	1313	4946	4022	2155	1173	313
PSMD11	15821	41304	14822	10457	4061	2120
MYO1D	5453	15928	3921	8026	5239	3163
RAD51L3-RFFL	0	0	0	0	0	0
GAS2L2	0	0	0	14	15	0
AP2B1	5138	17283	4246	11472	5432	1921
SLFN11	0	0	283	507	67	80
CCL23	0	1	0	0	0	0
MYO19	1852	4433	517	3109	764	532
AATF	3597	12863	3168	2942	1454	857
SYNRG	2822	10577	3452	2980	1869	843
TADA2A	556	2980	469	487	318	84
FBXL20	1832	5373	1724	1795	590	338
CWC25	1964	7494	3112	2190	1224	305
PLXDC1	353	1169	2715	136	563	514
LOC100131347	2	48	0	15	18	14
FBXO47	0	13	2	3	0	0
ERBB2	952	3353	422	5419	937	866
WIPF2	2707	5741	1876	4332	1663	779
IKZF3	2	420	0	0	0	0
PSMD3	1648	8229	1257	8801	3010	2543
KRTAP1-3	0	0	0	0	0	0
KRT26	0	0	0	0	0	0
ATP6V0A1	14899	33160	3945	10295	9176	4118
TUBG1	3295	10379	3273	4168	1849	1081
STAT3	18219	57172	6805	14344	7045	2656
FKBP10	61	164	6	1599	1266	1296
STAT5B	2549	6865	1962	1790	1693	617
TTC25	448	599	435	262	254	48
NBR2	548	941	286	535	291	232
PYY	36	1088	11	3	307	239
SLC4A1	0	1	0	1	1	0
CRHR1	0	0	0	2	0	0
DCAKD	9211	15106	11203	2642	3520	1295
MAP3K14	77	1207	407	951	318	294
PLEKHM1	414	2927	342	1848	592	573
ARL17B	0	0	0	0	0	0
KANSL1	1650	6556	2121	2098	845	382
NSF	6961	18030	10302	2988	2158	725
ARL17A	37	170.666666666667	59	18.6666666666667	4.33333333333333	0.666666666666667
NSFP1	0	0	0	0	0	0
NPEPPS	5656	12574	8938	7248	2765	993
CDC27	1950	7873	5298	2259	1450	701
SP2	872	2504	745	1999	326	415
EFCAB13	31	1283	661	177	214	30
KPNB1	3688	10358	4545	7045	3645	1326
ITGB3	0	164	315	5	26	34
LOC100506325	15	342	291	31	20	4
CALCOCO2	11833	56512	24301	8652	7020	2613
SKAP1	318	165	0	32	27	12
LOC101927166	1	0	0	0	0	0
SPOP	5632	20961	9052	4323	2824	1439
NGFR	0	326	0	26	21	6
FAM117A	1012	5474	1544	2136	1776	700
LOC102724596	0	55	2	28	6	1
SPATA20	3744	18347	2930	11176	2113	1584
SPAG9	1710	7516	5170	8592	3074	1388
ABCC3	981	9322	1869	8886	989	1885
CA10	131	431	317	167	149	6
LOC440446	0	0	0	0	0	0
STXBP4	182	2693	1401	425	547	171
HLF	751	1925	1984	1324	877	272
AKAP1	2240	6706	2503	4764	1076	425
DGKE	748	3322	865	1225	742	291
CUEDC1	328	798	298	3264	1586	935
RNF43	1354	1570	749	1051	343	186
PRR11	18	678	28	83	143	2
PPM1E	321	1611	425	137	119	70
TEX14	0	43	37	29	6	2
TRIM37	3261	5558	2871	2528	1341	604
YPEL2	1040	5101	2420	3604	1521	735
LOC101927728	0	0	0	0	0	0
USP32	1057	1638	1392	878	435	151
VMP1	11801	27575	18642	7528	1976	1374
APPBP2	3042	8736	5038	2263	1396	577
TBC1D3P1-DHX40P1	0	1	0	0	0	0
LOC101927755	113	357	59	57	35	9
BCAS3	34	2441	490	928	579	247
TLK2	479	1728	809	555	434	248
MED13	2669	7867	2717	2761	1100	279
MAP3K3	347	2880	795	1434	714	520
KCNH6	2881	14925	3751	2085	3343	1348
TANC2	1673	5542	3191	2562	1928	466
SMURF2	930	1784	1318	549	313	238
ERN1	1430	405	138	920	512	550
PLEKHM1P	201	540	15	380	135	54
CEP95	1256	4040	3439	1641	535	253
TEX2	2074	6938	3767	2783	1102	534
RGS9	6191	21021	604	1737	4624	1651
GNA13	2447	4148	4241	1271	599	305
PRKCA	1273	5289	1340	1826	372	235
CACNG5	0	137	0	36	14	13
APOH	3565	9525	5234	981	945	313
BPTF	2565	15369	9295	5870	4541	1341
HELZ	3424	11899	5465	3976	1668	725
PITPNC1	1293	4111	2727	2288	1418	875
ARSG	511	1462	113	117	202	194
ABCA9	232	139	33	60	33	17
FAM20A	188	1237	607	577	379	331
PRKAR1A	57848	111724	63676	20134	12253	4801
WIPI1	3788	8474	3905	4416	1072	482
ABCA10	34	710	443	120	87	25
MAP2K6	249	944	1053	440	120	29
LOC101928122	0	0	0	0	0	11
SLC39A11	8963	14337	7176	3277	1278	670
LINC00673	2987	15479	4193	6582	1537	809
TTYH2	104	993	223	451	158	153
SDK2	724	126	163	314	65	23
HN1	4400	21401	3882	8926	3677	3020
CD300E	1	0	0	2	0	0
SLC25A19	370	1050	348	431	117	100
FADS6	1	46	0	28	2	0
SLC9A3R1	10677	56293	7764	34096	10320	6272
LOC100287042	1	24	0	136	16	15
FBF1	0	444	19	177	169	89
SRP68	3533	17152	7099	4813	2737	1474
RNF157	1502	4170	1569	957	1040	263
RECQL5	923	4502	863	1095	1012	284
LLGL2	4315	27468	5266	20304	8014	4138
PRPSAP1	5935	11836	7800	4365	2023	934
UNK	2706	5763	5135	2214	1162	582
SEPT9	761	1250	485	4754	3808	3659
SEC14L1	2002	7424	3708	3581	1602	1595
JMJD6	4203	7971	4088	3560	1927	859
ST6GALNAC2	329	2110	438	3281	194	374
C17orf99	1	4	0	9	0	0
TNRC6C	790	2760	1478	632	477	507
PGS1	1202	5604	1521	1778	1016	811
RBFOX3	260	1382	64	623	246	66
USP36	1951	4568	364	2930	841	485
CYTH1	824	3952	952	3294	926	704
RNF213	5705	25026	6039	7736	3338	1444
TBC1D16	1650	1839	789	2846	778	1155
LOC100294362	156	778	14	148	49	30
EIF4A3	8137	29200	20865	5186	3353	1627
NPLOC4	3575	10242	2157	7812	2868	2461
TMEM105	0	3	2	7	3	3
BAHCC1	231	129	162	405	366	462
BAIAP2	2912	9014	900	4037	3508	2123
CEP131	18	989	214	698	220	225
CCDC57	1423	5132	609	1237	1557	842
ASPSCR1	913	5777	613	3638	1938	1359
CSNK1D	5554	13909	2572	10872	8685	5497
FOXK2	1657	5767	4010	2528	1256	724
OGFOD3	1845	11537	983	3627	4418	1773
B3GNTL1	201	1237	333	353	241	117
DOC2B	0	0	0	5	0	0
LOC100506371	16	0	0	18	1	0
LOC100506388	22	639	10	143	65	2
FAM101B	340	120	2069	60	81	289
FAM57A	1061	3942	1175	1984	850	786
DBIL5P	0	152	101	89	119	33
GLOD4	5204	27439	12521	7533	3519	2096
RNMTL1	2029	7009	2772	2691	950	648
TIMM22	4338	13363	4275	4817	2637	1367
MIR3183	0	0	0	0	0	0
BHLHA9	0	0	0	0	0	0
YWHAE	78139	88962	76298	25707	16420	7620
TUSC5	0	0	0	0	0	0
CRK	1167	5728	4632	5651	1620	1170
MYO1C	4033	11772	1205	11291	2787	2076
INPP5K	2172	11492	1673	3277	1273	1122
PITPNA-AS1	868	2667	312	1206	909	346
RILP	70	695	130	1780	206	169
SCARF1	4	509	198	115	63	858
SLC43A2	694	3877	1369	1720	3263	2077
SERPINF2	0	95	3	508	7	13
SERPINF1	1171	396	1031	3430	2228	1315
MIR22HG	841	3767	835	2213	837	561
WDR81	558	1517	259	1617	455	217
TLCD2	232	612	71	275	52	52
MIR22	0	0	0	0	0	0
RPA1	5345	12314	5790	3368	1584	743
OVCA2	335	1215	120	936	383	403
DPH1	2011	7947	883	3267	1489	862
HIC1	177	1	14	322	409	325
MIR132	0	2	0	0	6	1
MIR212	0	0	0	0	0	6
RTN4RL1	99	519	416	67	389	119
LOC101927839	0	0	0	1	0	0
SGSM2	2070	10143	1528	2265	2337	989
MNT	560	1650	246	1796	906	656
SNORD91A	0	0	0	0	0	0
SNORD91B	0	0	0	0	1	0
LOC284009	0	22	80	8	2	0
CLUH	662	2066	143	6905	919	833
PAFAH1B1	5023	10799	6641	3442	2809	1088
MIR6776	0	0	0	0	0	0
MIR1253	0	0	0	0	0	0
LOC101927911	1	157	28	43	8	5
OR1D5	0	0	0	0	0	0
OR1D2	0	0	0	0	0	0
OR1G1	0	0	0	0	0	0
OR1A1	0	0	0	0	0	0
OR1A2	0	0	0	0	0	0
OR1D4	0	0	0	0	0	0
OR3A4P	0	0	0	0	0	0
OR3A1	0	22	0	22	1	6
OR3A2	0	84	1	4	1	0
SPATA22	14	1	19	8	9	8
OR3A3	0	0	0	0	0	4
OR1E2	0	0	0	0	0	0
OR1E1	0	0	1	2	0	0
ASPA	0	175	124	112	0	34
TRPV3	0	855	245	84	21	70
TRPV1	56	369	176	308	208	72
P2RX5	0	76	0	63	18	22
P2RX5-TAX1BP3	78	557	55	164	64	74
TAX1BP3	246	934	36	1808	365	378
EMC6	552	2076	409	1208	475	411
CTNS	550	5759	1191	1927	1100	667
GSG2	0	0	0	17	3	3
C17orf85	1256	9651	2062	3429	1674	677
CAMKK1	1046	6431	1531	1648	1249	321
ATP2A3	11518	39779	4055	13303	14765	5876
CYB5D2	4459	29859	7443	8191	4999	1976
ANKFY1	2145	5493	2994	1934	1365	577
LOC103021295	0	0	0	0	0	0
SPNS2	199	682	100	6802	508	779
SPNS3	0	0	19	37	20	35
SMTNL2	0	0	0	12	19	0
GGT6	996	4125	29	11010	251	548
ALOX15	7	34	16	0	18	0
CXCL16	2450	13589	1709	10410	1888	2912
ARRB2	447	937	256	2920	739	591
LOC101559451	0	72	53	33	21	15
VMO1	67	0	0	78	9	38
ZMYND15	7	0	2	130	30	11
TM4SF5	176	329	732	659	22	930
PSMB6	26576	70382	35464	18957	10560	6914
GLTPD2	17	2	0	187	64	124
MED11	1846	5537	2883	3672	1937	982
C17orf107	86	936	120	288	187	70
SLC25A11	8503	22030	3641	10579	5088	2978
MINK1	1863	2924	350	3789	2415	1384
RNF167	6569	16608	2266	11710	4579	2474
CHRNE	79	156	0	91	97	33
GP1BA	33	151	24	2	10	2
ENO3	234	1133	6	391	290	64
KIF1C	699	2142	238	7988	807	808
INCA1	60	328	30	123	133	10
CAMTA2	3850	7052	919	3689	4204	1851
SLC52A1	0	8	0	13	1	0
SPAG7	8560	23697	18195	8251	3540	1778
MIR6865	0	0	0	0	0	1
MIR6864	0	0	0	2	0	0
LOC102724009	0	3	1	26	2	0
ZNF594	331	1064	752	323	273	72
ZFP3	1646	2073	1414	492	264	172
USP6	75	53	72	62	11	1
ZNF232	935	3576	1158	1062	728	459
SCIMP	0	221	2	9	50	4
RPAIN	6899	19837	10188	5858	4093	1905
DHX33	638	1425	1447	900	389	126
NUP88	1226	9151	1469	3148	1052	562
C1QBP	7849	31345	9677	11227	4046	2519
NLRP1	136	21	0	10	12	79
LOC728392	1488	7714	2458	3111	6502	2143
MIS12	647	4166	1739	1509	498	274
DERL2	4609	12025	6271	3300	1178	764
WSCD1	82	288	260	292	313	527
AIPL1	1	0	1	0	0	0
FAM64A	0	633	0	8	115	33
KIAA0753	543	3820	585	580	306	230
TXNDC17	7511	26563	8053	11193	4760	2837
ALOX15P1	35	67	53	10	21	2
XAF1	79	0	77	48	179	46
MIR4520B	0	0	0	0	0	0
SLC13A5	212	123	65	643	37	15
C17orf100	248	3100	405	1027	502	167
MIR4520A	0	3	0	0	1	0
TEKT1	0	0	0	3	0	0
ALOX12P2	467	820	86	173	197	114
RNASEK	43	247	55	248.5	102	81
C17orf49	0	0	0	0	0	0
LOC100506713	231	742	398	200	171	40
RNASEK-C17orf49	0	0	1	23	1	3
SLC16A13	309	1292	196	327	247	45
MIR497HG	44	182	146	149	75	27
ALOX12	3	127	59	124	57	35
MIR195	0	0	0	0	0	0
MIR497	0	0	0	0	0	0
BCL6B	0	6	182	12	62	620
CLEC10A	0	0	0	0	7	0
ASGR2	0	0	22	0	16	0
CTDNEP1	1136	3344	1337	3307	2373	1022
CLDN7	22867	55366	3819	53450	23076	12016
GABARAP	63980	177180	71299	70791	43459	20124
ELP5	3515	17003	4656	4555	2987	1217
DVL2	2771	4731	1330	3487	1735	969
ACADVL	21178	102659	13538	39071	20750	10804
SLC2A4	24	50	8	103	6	1
YBX2	0	69	14	68	67	3
MIR324	0	18	0	23	6	4
PHF23	1296	3859	2279	2865	1709	1051
DLG4	4	752	203	765	389	218
PLSCR3	37	36	0	148	17	37
EIF5A	25513	70283	5978	21271	8857	5566
GPS2	8644	20488	6894	8754	3920	2492
NEURL4	625	3092	323	787	781	383
NLGN2	286	1994	350	687	678	598
ACAP1	311	2047	97	262	287	140
TNK1	645	3198	410	1227	653	337
SPEM1	0	0	0	0	0	0
C17orf74	0	0	0	0	1	0
TMEM256-PLSCR3	0	0	0	16	0	0
TMEM95	0	0	0	0	0	0
KCTD11	192	2400	437	1347	338	318
TMEM256	2136	8322	1351	3475	2406	1117
TNFSF13	369	1682	258	1227	660	350
TNFSF12-TNFSF13	0	0	0	0	0	0
ZBTB4	2147	8174	3659	4763	2461	861
FGF11	0	274	5	81	108	12
TNFSF12	311	1199	302	684	968	402
POLR2A	2625	21909	2563	18257	7986	4756
CHRNB1	846	4390	1689	1739	749	479
SLC35G6	24	0	0	3	0	0
SHBG	0	114	44	97	36	27
EIF4A1	0	0	0	0	0	0
CD68	12486	8099	651	2706	1581	1269
MPDU1	4128	20176	2497	10136	3631	3063
TP53	2464	2306	1420	2527	756	811
ATP1B2	332	1977	1020	2130	656	295
SNORA48	9	128	28	334	25	7
SNORA67	73	236	49	137	58	14
SNORD10	0	648	0	6568	15	10
FXR2	859	5347	820	1747	1439	794
SOX15	78	977	105	76	90	28
SAT2	5846	17021	3409	9752	4714	2858
RPL29P2	2	4	2	2	0	1
EFNB3	264	3624	1277	1330	481	352
TRAPPC1	6510	14184	7361	9660	7060	4028
KDM6B	1611	3530	291	3187	1253	630
CHD3	4044	11222	2447	5927	3411	1780
KCNAB3	0	123	123	89	43	9
TMEM88	0	94	346	55	7	427
NAA38	9989	35532	8790	14668	10652	5743
CYB5D1	245	758	1214	596	292	192
SCARNA21	0	84	0	77	43	23
CNTROB	892	2478	556	1362	702	403
LOC284023	195	1137	252	320	274	65
ALOX15B	0	55	0	44	0	0
GUCY2D	0	45	12	26	6	2
ALOX12B	0	309	0	112	16	2
MIR4314	0	0	0	0	0	0
HES7	7	0	0	8	1	0
PER1	1454	3598	915	2672	2982	618
ALOXE3	0	0	0	66	22	6
TMEM107	2474	7041	2493	1527	1685	397
VAMP2	21476	54348	11959	14422	16710	5586
C17orf59	531	3808	465	2875	1227	438
AURKB	0	1160	0	94	331	45
MIR4521	2	6	0	2	3	0
MIR6883	0	0	0	1	0	0
CTC1	1096	3506	975	2746	758	360
RANGRF	478	2713	1022	674	423	232
PFAS	597	1725	1180	971	343	211
ARHGEF15	33	10	191	194	35	546
SLC25A35	295	1419	122	856	363	183
ODF4	0	0	0	6	0	0
RNF222	0	0	0	0	0	0
LOC100128288	147	254	58	72	91	25
NDEL1	3832	13590	2750	3301	3890	1620
RPL26	6053	20099	7292	20693	7542	3810
KRBA2	458	1459	201	277	136	42
CCDC42	0	0	0	0	0	0
MFSD6L	611	1103	99	735	280	182
PIK3R6	0	0	0	0	0	0
SPDYE4	0	0	0	1	0	0
PIK3R5	135	0	0	43	1	0
LOC101928266	0	0	0	9	0	0
WDR16	4	48	17	7	3	16
DHRS7C	0	0	0	0	0	0
RCVRN	0	0	0	0	4	0
GLP2R	0	0	139	27	5	6
MYH8	0	21	0	0	0	0
MYH1	0	1	0	2	1	5
MYH2	3	0	0	1	0	1
MYH3	0	187	63	99	94	25
SCO1	1120	7535	2654	2644	1176	475
ADPRM	443	2188	1418	892	403	59
TMEM220-AS1	71	93	13	247	53	18
LINC00675	53	10	18	139	19	27
PIRT	0	33	0	24	9	0
MAGOH2	30	251	73	135	60	24
ZNF18	556	2216	777	474	403	77
MIR744	3	0	14	1	3	5
LINC00670	0	1	0	0	0	0
LOC100128006	0	0	1	0	1	0
ELAC2	2396	15778	1938	5273	2066	1118
CDRT15P1	0	23	0	4	3	8
COX10-AS1	262	901	849	327	303	104
CDRT15	0	0	0	1	1	4
MGC12916	0	55	185	44	141	10
HS3ST3B1	64	204	13	22	271	168
CDRT7	0	0	0	0	0	0
CDRT8	0	0	1	0	0	0
PMP22	537	389	4513	235	258	660
MIR4731	0	0	0	1	0	0
TEKT3	0	265	0	8	16	21
CDRT4	0	28	0	4	0	0
